"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",95466.61760581,-117696.94501759,42077,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",96472.78430684,-127317.80685532,42078,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",97231.25048848,-166159.42627504,42079,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",56635.48792149,-166559.78664379,42080,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",50252.45940519,-149153.30642575,42081,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",42701.2625108,-147435.12282497,42082,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",47672.86993074,-143790.02579867,42083,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",33759.38813417,-89710.00456374,42084,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",55792.8129449,-89289.95032846,42085,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",85623.54720904,-88770.50499959,42086,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",85920.55194244,-117838.67022635,42087,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",51580.95698174,-118286.70455743,42088,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",52329.55225472,-113046.24520805,42089,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",34932.32546837,-99811.52948424,42090,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Buffalo",1923,13960,0.14,726,"Missouri River","46017",33759.38813417,-89710.00456374,42091,FALSE,1,"46017.1","SD","South Dakota","Buffalo County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-318890.80593433,7702.20679975,42092,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-317427.67219202,7750.28648012,42093,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-316791.97539262,21803.02896312,42094,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-316316.08109666,31568.81630781,42095,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-231591.65860778,27898.97019103,42096,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-232303.02991172,8640.83281487,42097,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-234599.51422543,-39716.64863712,42098,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-282332.25295549,-37815.42682195,42099,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-302331.31948976,-36828.60576309,42100,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-321099.77470017,-39679.29541117,42101,FALSE,1,"46019.1","SD","South Dakota","Butte County"
