city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Brookings,2020,304624,1.193320540968680,Brookings,44.30305,-96.78879
Brookings,2021,417625,1.211185344128140,Brookings,44.30305,-96.78879
Bruce,2019,11216,0.024710268723107,Brookings,44.46096,-96.90417
Bruce,2020,12039,0.047159511922579,Brookings,44.46096,-96.90417
Bruce,2021,8991,0.026074190325060,Brookings,44.46096,-96.90417
Bryant,2019,4405,0.050829553613098,Hamlin,44.59156,-97.43970
Bryant,2020,9165,0.117824421239959,Hamlin,44.59156,-97.43970
Bryant,2021,4872,0.067470990049832,Hamlin,44.59156,-97.43970
Buffalo,2019,24709,0.684663493950567,Harding,45.61688,-103.62856
Buffalo,2020,23050,0.673829999507827,Harding,45.61688,-103.62856
Buffalo,2021,20683,0.652372572332977,Harding,45.61688,-103.62856
Buffalo Gap,2019,2086,0.003313189461285,Custer,43.49139,-103.16055
Buffalo Gap,2020,1632,0.002674521015368,Custer,43.49139,-103.16055
Buffalo Gap,2021,1372,0.002319914644259,Custer,43.49139,-103.16055
Bullhead,2019,316,0.010863675271171,Corson,45.76904,-101.06562
Bullhead,2020,741,0.024731833115408,Corson,45.76904,-101.06562
Bullhead,2021,166,0.005326074532617,Corson,45.76904,-101.06562
Burbank,2019,15250,0.089596765392321,Clay,42.78790,-96.81926
Burbank,2020,16851,0.145661253509855,Clay,42.78790,-96.81926
Burbank,2021,18149,0.108602189411032,Clay,42.78790,-96.81926
Burke,2019,18444,0.226568841361279,Gregory,43.18212,-99.28610
Burke,2020,24119,0.295095073233151,Gregory,43.18212,-99.28610
Burke,2021,25588,0.276789699173612,Gregory,43.18212,-99.28610
Camp Crook,2019,3462,0.095935301814045,Harding,45.55113,-104.08409
Camp Crook,2020,1801,0.052642968711549,Harding,45.55113,-104.08409
Camp Crook,2021,736,0.023198999016134,Harding,45.55113,-104.08409
Canistota,2019,7980,0.164477887133079,Mccook,43.59748,-97.24911
Canistota,2020,8427,0.203702010742863,Mccook,43.59748,-97.24911
Canistota,2021,7302,0.191588399177585,Mccook,43.59748,-97.24911
Canova,2019,488,0.033202912797808,Miner,43.86939,-97.55449
Canova,2020,2400,0.175532937032000,Miner,43.86939,-97.55449
Canova,2021,2412,0.191052495834500,Miner,43.86939,-97.55449
Canton,2019,28818,0.053036310515039,Lincoln,43.29664,-96.59546
Canton,2020,22473,0.061317026839291,Lincoln,43.29664,-96.59546
Canton,2021,15736,0.031462651837275,Lincoln,43.29664,-96.59546
Caputa,2019,947,0.000384064645658,Pennington,43.99475,-102.92358
Caputa,2020,1119,0.000519587956500,Pennington,43.99475,-102.92358
Caputa,2021,416,0.000174762879910,Pennington,43.99475,-102.92358
Carpenter,2019,1797,0.040849946144218,Clark,44.57733,-97.95436
Carpenter,2020,1390,0.037613334279309,Clark,44.57733,-97.95436
Carpenter,2021,1491,0.028988452456008,Clark,44.57733,-97.95436
Carthage,2019,913,0.062130772445683,Miner,44.18030,-97.71633
Carthage,2020,1660,0.121427714295701,Miner,44.18030,-97.71633
Carthage,2021,1521,0.120510035834069,Miner,44.18030,-97.71633
Castlewood,2019,15713,0.181323495580341,Hamlin,44.71940,-97.03604
Castlewood,2020,15582,0.200313216646286,Hamlin,44.71940,-97.03604
Castlewood,2021,15730,0.217849069886142,Hamlin,44.71940,-97.03604
Cavour,2019,1010,0.004969117895216,Beadle,44.33033,-98.04498
Cavour,2020,2353,0.015060596833843,Beadle,44.33033,-98.04498
Cavour,2021,1503,0.007850753435055,Beadle,44.33033,-98.04498
Centerville,2019,2978,0.074470015591492,Turner,43.09749,-96.95614
