city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Burbank,2021,18149,0.11,Clay,42.7879,-96.81926
Burke,2019,18444,0.23,Gregory,43.18212,-99.2861
Burke,2020,24119,0.30,Gregory,43.18212,-99.2861
Burke,2021,25588,0.28,Gregory,43.18212,-99.2861
Camp Crook,2019,3462,0.10,Harding,45.55113,-104.08409
Camp Crook,2020,1801,0.05,Harding,45.55113,-104.08409
Camp Crook,2021,736,0.02,Harding,45.55113,-104.08409
Canistota,2019,7980,0.16,Mccook,43.59748,-97.24911
Canistota,2020,8427,0.20,Mccook,43.59748,-97.24911
Canistota,2021,7302,0.19,Mccook,43.59748,-97.24911
Canova,2019,488,0.03,Miner,43.86939,-97.55449
Canova,2020,2400,0.18,Miner,43.86939,-97.55449
Canova,2021,2412,0.19,Miner,43.86939,-97.55449
Canton,2019,28818,0.05,Lincoln,43.29664,-96.59546
Canton,2020,22473,0.06,Lincoln,43.29664,-96.59546
Canton,2021,15736,0.03,Lincoln,43.29664,-96.59546
Caputa,2019,947,0.00,Pennington,43.99475,-102.92358
Caputa,2020,1119,0.00,Pennington,43.99475,-102.92358
Caputa,2021,416,0.00,Pennington,43.99475,-102.92358
Carpenter,2019,1797,0.04,Clark,44.57733,-97.95436
Carpenter,2020,1390,0.04,Clark,44.57733,-97.95436
Carpenter,2021,1491,0.03,Clark,44.57733,-97.95436
Carthage,2019,913,0.06,Miner,44.1803,-97.71633
Carthage,2020,1660,0.12,Miner,44.1803,-97.71633
Carthage,2021,1521,0.12,Miner,44.1803,-97.71633
Castlewood,2019,15713,0.18,Hamlin,44.7194,-97.03604
Castlewood,2020,15582,0.20,Hamlin,44.7194,-97.03604
Castlewood,2021,15730,0.22,Hamlin,44.7194,-97.03604
Cavour,2019,1010,0.01,Beadle,44.33033,-98.04498
Cavour,2020,2353,0.02,Beadle,44.33033,-98.04498
Cavour,2021,1503,0.01,Beadle,44.33033,-98.04498
Centerville,2019,2978,0.07,Turner,43.09749,-96.95614
