city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Big Stone City,2021,27481,0.282014009633,Grant,0.8128000000000,0.1872000000000,45.29459,-96.5082
Bison,2019,9203,0.186713113157,Perkins,0.8750000000000,0.1250000000000,45.48562,-102.48123
Bison,2020,6805,0.141939788321,Perkins,0.8987654320988,0.1012345679012,45.48562,-102.48123
Bison,2021,6654,0.140150906296,Perkins,0.9130434782609,0.0869565217391,45.48562,-102.48123
Black Hawk,2019,29704,0.062178202900,Meade,0.8931398416887,0.1068601583113,44.17141,-103.32792
Black Hawk,2020,24449,0.054878744582,Meade,0.8509984639017,0.1490015360983,44.17141,-103.32792
Black Hawk,2021,26667,0.052900998633,Meade,0.8239845261122,0.1760154738878,44.17141,-103.32792
Blunt,2019,7128,0.023007527412,Hughes,0.9401197604790,0.0598802395210,44.50371,-99.99506
Blunt,2020,6771,0.026584732578,Hughes,0.9022346368715,0.0977653631285,44.50371,-99.99506
Blunt,2021,7349,0.025064542813,Hughes,0.8756218905473,0.1243781094527,44.50371,-99.99506
Bonesteel,2019,12919,0.158695958837,Gregory,0.9087719298246,0.0912280701754,43.08952,-98.95018
Bonesteel,2020,14605,0.178695577231,Gregory,0.8879120879121,0.1120879120879,43.08952,-98.95018
Bonesteel,2021,11918,0.128919088703,Gregory,0.8326612903226,0.1673387096774,43.08952,-98.95018
Bowdle,2019,5243,0.114438913115,Edmunds,0.8833333333333,0.1166666666667,45.45419,-99.66356
Bowdle,2020,4254,0.113276186863,Edmunds,0.8904109589041,0.1095890410959,45.45419,-99.66356
Bowdle,2021,6056,0.126390247541,Edmunds,0.8443396226415,0.1556603773585,45.45419,-99.66356
Box Elder,2019,26569,0.010778451394,Pennington,0.9269759450172,0.0730240549828,44.12715,-103.06704
Box Elder,2020,26052,0.012091735057,Pennington,0.9020284851101,0.0979715148899,44.12715,-103.06704
Box Elder,2021,26338,0.011061265845,Pennington,0.8602620087336,0.1397379912664,44.12715,-103.06704
Bradley,2019,1512,0.034374896406,Clark,0.8701298701299,0.1298701298701,45.09655,-97.64174
Bradley,2020,1702,0.046057862088,Clark,0.8468468468468,0.1531531531532,45.09655,-97.64174
Bradley,2021,1733,0.033703907389,Clark,0.7594936708861,0.2405063291139,45.09655,-97.64174
Brandon,2019,113180,0.040218719444,Minnehaha,0.9025923016496,0.0974076983504,43.58524,-96.5809
Brandon,2020,88693,0.046307744643,Minnehaha,0.8735519340271,0.1264480659729,43.58524,-96.5809
Brandon,2021,108396,0.043361118385,Minnehaha,0.8252573437108,0.1747426562892,43.58524,-96.5809
Brandt,2019,3435,0.058401283881,Deuel,0.9354838709677,0.0645161290323,44.66753,-96.62958
Brandt,2020,2561,0.051278752662,Deuel,0.8652482269504,0.1347517730496,44.66753,-96.62958
Brandt,2021,3061,0.064142658925,Deuel,0.8448275862069,0.1551724137931,44.66753,-96.62958
Brentford,2019,0,0.000000000000,Spink,0.9285714285714,0.0714285714286,45.15618,-98.32577
Brentford,2020,606,0.010961311840,Spink,0.8571428571429,0.1428571428571,45.15618,-98.32577
Brentford,2021,280,0.004007230705,Spink,0.8000000000000,0.2000000000000,45.15618,-98.32577
Bridgewater,2019,3182,0.065575304608,Mccook,0.8870967741935,0.1129032258065,43.54957,-97.48059
Bridgewater,2020,4240,0.102495333596,Mccook,0.8823529411765,0.1176470588235,43.54957,-97.48059
Bridgewater,2021,4202,0.110258949872,Mccook,0.8069306930693,0.1930693069307,43.54957,-97.48059
Bristol,2019,4675,0.040358432145,Day,0.8888888888889,0.1111111111111,45.32412,-97.77783
Bristol,2020,6177,0.067134270219,Day,0.8780487804878,0.1219512195122,45.32412,-97.77783
Bristol,2021,3647,0.033888534422,Day,0.8417266187050,0.1582733812950,45.32412,-97.77783
Britton,2019,23360,0.426402703916,Marshall,0.9118110236220,0.0881889763780,45.80222,-97.73545
Britton,2020,18083,0.439820988775,Marshall,0.8862385321101,0.1137614678899,45.80222,-97.73545
Britton,2021,23482,0.478295692867,Marshall,0.8331053351573,0.1668946648427,45.80222,-97.73545
Brookings,2019,590816,1.301642821976,Brookings,0.9129662522202,0.0870337477798,44.30305,-96.78879
Brookings,2020,304624,1.193320540969,Brookings,0.8702298471352,0.1297701528648,44.30305,-96.78879
